イボウキクサ一個体の画像,bcb001,個体
イボウキクサのライフサイクル,bcb002,個体
古典的なウキクサ株,bcb004,個体
オジギソウの就眠運動（概日リズム）,bcb006,個体
ダイコン芽生えの暗所成長,bpp001,個体
ダイコン芽生えの明所成長,bpp002,個体
ダイコン芽生えの光屈性,bpp003,個体
ハクサイ芽生えのフック解消,bpp004,個体
マウスを用いた視運動性眼球運動の観察,pns003,個体
アカハライモリ,pmp001-pmp002-pmp003-pmp004-pmp005-pmp006,個体
キスジフキヤガエル,pmp007-pmp008-pmp009,個体
サンゴトラザメ,pmp010-pmp011-pmp012-pmp013-pmp014-pmp015-pmp016-pmp017,個体
スポッテドガー,pmp018-pmp019-pmp020-pmp021-pmp022-pmp023-pmp024-pmp025,個体
アフリカツメガエル,pmp026-pmp027-pmp028-pmp029-pmp030-pmp031,個体
タイガーサラマンダー,pmp032-pmp033-pmp034-pmp035-pmp036-pmp037-pmp038,個体
トランカタスヤドクガエル,pmp039-pmp040-pmp041-pmp042-pmp043-pmp044-pmp045,個体
バフンウニ,pmp046-pmp047-pmp048-pmp049-pmp050,個体
プロトプテルスドロイ,pmp051-pmp052-pmp053-pmp054-pmp055-pmp056-pmp057-pmp058-pmp059-pmp060-pmp061-pmp062-pmp063,個体
ポリプテルスセネガルス,pmp064-pmp065-pmp066-pmp067-pmp068-pmp069-pmp070-pmp071-pmp072,個体
バロンマダガスカルガエル,pmp073-pmp074-pmp075-pmp076-pmp077-pmp078-pmp079-pmp080-pmp081-pmp082-pmp083-pmp084-pmp085,個体
メキシコサラマンダー,pmp089-pmp090-pmp091-pmp092-pmp093-pmp094-pmp095-pmp096-pmp097-pmp098-pmp099-pmp100-pmp101,個体
外来種マダラコウラナメクジ（成体）,zsr001,個体
マダラコウラナメクジの幼体,zsr002,個体
マダラコウラナメクジの卵,zsr003,個体
産卵中のマダラコウラナメクジ,zsr004,個体
チャコウラナメクジの成体,zsr005,個体
在来種ナメクジ,zsr006,個体
ナメクジの卵,zsr007,個体
ヤマナメクジ,zsr008,個体
ノハラナメクジ,zsr009,個体
マダラコウラナメクジの歩行の様子,zsr011,個体
外来種マダラコウラナメクジ（成体）,zsr012,個体
マダラコウラナメクジの歩行の様子,zsr013,個体
イラン、マラゲーにおける後期中新世化石サイト,zpa001-zpa003-zpa006-zpa017,個体
Astrochelys radiata,zzs001-zzs002,個体
Chalarodon madagascariensis,zzs003-zzs004,個体
Crystoblephaurus boutonii cognatus,zzs005,個体
Furcifer labordi,zzs006,個体
Furcifer verrcosus,zzs007,個体
Oplurus cyclurus,zzs008,個体
Oplurus saxicola,zzs009,個体
Oplurus saxicola,zzs010,個体
Phelsuma lineata,zzs011,個体
Pyxis planicauda,zzs012,個体
Zonosaurus kartensi,zzs013,個体
Zonosaurus kartensi?,zzs014,個体
Stenophis betsileanus,zzs015,個体
Uroplatus fimbriatus,zzs016,個体
Phelsuma lineata,zzs017,個体
Phelsuma quadriocellata,zzs018,個体
Calumma nasuta,zzs019,個体
Liopholidophis varius,zzs020,個体
Madascincus melanopleua,zzs021,個体
Thamnosophis infrasignatus,zzs022,個体
Mimophis mahfalensis,zzs023-zzs027,個体
Thamnosophis stumpffi,zzs024,個体
Hemidactylus frenatus?,zzs025,個体
Leioheterdon modestus,zzs026,個体
Hemidactylus mercatorius,zzs028,個体
Madagascarophis colubrinus,zzs029,個体
Trachylepis elegans,zzs030,個体
Tachylepis aureopunctata,zzs031,個体
Lygodactylus klemmeri?,zzs032,個体
Furcifer verrcosus,zzs033,個体
Gekkolepis polylepis,zzs034-zzs038,個体
Acrantophis dumerilli,zzs035,個体
Tracheloptychus madagascariensis,zzs036,個体
Zonosaurus karsteni,zzs037,個体
Dromicodryas bernieri,zzs039,個体
Oplurus cuvieri,zzs040,個体
Paroedura picta,zzs041,個体
Madascincus polleni,zzs042,個体
Voetzkowia rubrocaudata,zzs043,個体
Liophidium torquatum,zzs044,個体
Leioheterodon geayi,zzs045-zzs046,個体
Phelsuma madagascariensis grandis,zzs047,個体
Uroplatus henkeli,zzs048,個体
Zonosaurus rufipes,zzs049,個体
Trachylepis gravenhorsti,zzs050,個体
Dromicodryas quadrilineatus,zzs051,個体
Phelsuma laticauda,zzs052,個体
Calumma boetgeri,zzs053,個体
Paroedura stumpffi,zzs054,個体
Brookesia stumpffi,zzs055,個体
Brookesia minima,zzs056,個体
Zonosaurus rufipes,zzs057,個体
Ithycyphus miniatus,zzs058,個体
Pseudoacontias unicolor,zzs059-zzs060-zzs061,個体
Uroplatus henkeli,zzs062,個体
Furcifer pardalis,zzs063,個体
Stenophis variablis,zzs064-zzs065,個体
Gekkolepis maculata,zzs066,個体
Uroplatus henkeli,zzs067,個体
Hemidactylus mabouia,zzs068,個体
Phelsuma abbotti,zzs069,個体
Furcifer pardalis,zzs070,個体
Trachylepis gravenhorsti,zzs071,個体
Madagascarophis colubrinus,zzs072,個体
Sanzinia madagascariensis,zzs073,個体
Zonosaurus madagascariensis,zzs074-zzs075,個体
Sanzinia madagascariensis,zzs076-zzs077-zzs078,個体
Amphiglossus stumpffi,zzs079,個体
Crystoblephaurus boutonii cognatus,zzs080,個体
Gekkolepis maculata,zzs081,個体
Acrantophis madagascariensis,zzs082,個体
Typhlops domerguei,zzs083,個体
Phelsuma quadriocellata,zzs084,個体
Zonosaurus ornatus,zzs085,個体
Calumma brevicornis,zzs086,個体
Amphiglossus melanurus,zzs087,個体
Calumma balteatus,zzs088-zzs089,個体
Liopholidophis sexlineatus,zzs090,個体
Geodipsas infralineata,zzs091,個体
Zonosaurus aeneus,zzs092,個体
Uroplatus phantacticus,zzs093,個体
Calumma brevicornis,zzs094-zzs096,個体
Calumma oshaughnessyi,zzs095,個体
Uroplatus phantacticus,zzs097,個体
Calumma willsii,zzs098,個体
Tachylepis aureopunctata,zzs099,個体
Hemidactylus mercatorius,zzs100,個体
Tracheloptychus madagascariensis,zzs101,個体
Zonosaurus trilineatus,zzs102,個体
Dromicodryas bernieri,zzs103,個体
Pyxis arachnoides,zzs104-zzs105-zzs106,個体
Phelsuma mutablilis,zzs107-zzs108,個体
